question,answer
I am worried about someone I know. How can I help?,"If you know of, or are concerned about, someone in an abusive relationship there are some things you can do:  Keep regularly in touch with the person to check that they are safe, ensuring that it is safe for them to be in touch with you. Assume that a perpetrator of violence can see, hear and or monitor communications, so find out how best to communicate with the person that you are concerned about.  Send them an SMS or message via email or social media, in a way that is safe for them. Be discrete in connecting with them when the abuser is present in the home so that they are not placed at risk of additional harm. Check each time, as this may change.  Find out what services for survivors of violence against women (e.g. shelters, hotlines, counselling services, women’s organizations) are functioning during the COVID-19 pandemic and make this information available through your networks and social media. Only provide this information directly if you can do so discretely without the abuser finding out.   If someone you know needs urgent help for whatever reason, be prepared to call emergency health services, the police, health centre, or hotline. "
I want to report an incidence of violence during COVID-19. What should I do?,"If you want to report an incidence of violence, you should follow your country’s guidance on how to report violence and contact the service where you are most likely to get a survivor-centred response.   Some countries are making exceptions to movement restrictions for reporting of violence specifically. Remember that reporting may put you at risk, so ensure you have a safety plan in place.  You may find making a report mentally or emotionally difficult. Seek the support of friends, relations, neighbours or colleagues, or local support services for survivors of violence.  "
I have harmed or am worried about harming or hurting my partner (and children) with my words or actions. How can I stop?,"If you feel yourself getting angry or very annoyed, step away into another room if you can, or outside for a deep breath.   Count to ten and breathe in and out until you feel calmer. Count down from 10, or do anything else that may help you stay calm.  Talk to a trusted friend, relative, or religious leader and if necessary seek help from local health services or specialized services if available.   Recognize that everyone in your family is experiencing stress during this time.  Demonstrate kindness and patience in your words and actions.   Eliminate or reduce your alcohol consumption as much as possible.  The current measures to address the COVID-19 pandemic, such as restrictions on movement, as well as financial instability caused by the crisis, are likely to add to your stress.  This is normal, and you can control how you react.  Take measures to ensure you manage your stress in a way that is respectful and safe to you and your family. Try to be kind to yourself, your partner, children and anyone else in the family."
I am a health worker. How can I help women survivors of violence during COVID-19?,"As a health worker, there are things you can do to help mitigate the impacts of violence on women and children at any time, including during the COVID-19 pandemic.   Whilst your time and resources may be stretched during this health emergency, you have a duty of care to women who may seek help from you – often to address physical and mental hurt caused by violence.   You may need to adjust how you deliver services, if face-to-face care is not possible. Depending on your resources consider mobile phone, WhatsApp or other communication channels to deliver support, always ensuring you can do this in a way that is safe for the survivor. Communicate openly with women about any changes in service delivery.   If a woman with suspected or confirmed COVID-19 seeks your care because of violence, your response should be the same as for any other survivor. You should however ensure that you are protected from infection, by maintaining distance where possible, wearing protective clothing, practicing respiratory hygiene, and washing hands and surfaces with soap and water regularly and after touching, to avoid infection.  In any circumstances, including during the COVID-19 pandemic, health workers should provide first-line support, using the LIVES approach to help women survivors of violence:   L isten closely, with empathy and no judgement  I nquire about women’s needs and concerns  V alidate women’s experiences. Show you believe and understand.  E nhance their safety.  S upport women to connect with additional services. "
I run a health facility. What can I do to support women survivors of violence during COVID-19?,"Identify information on local services for survivors, including on hotlines, shelters, rape crisis centers, and counselling.   Find out opening hours, contact details and whether these services can be offered remotely, and establish referral linkages.   Make these available to health care providers and easily accessible to patients/clients coming to your facility.   Support the health care providers in your facility to continue to support women survivors of violence during this time.  Be prepared to shift rapidly to providing care through alternative ways, by creating effective response plans; for example, by ensuring frontline healthcare workers have phones and can charge them.   Ensure there is a protocol in place to ensure continued safe document storage in case of sudden lockdown.  Inform survivors of ways they can protect themselves, and provide small credit card-size cards listing relevant phone numbers for support "
I am a policy maker. What can I do to prevent and address violence against women during COVID-19?,"When making preparedness and response plans for the COVID-19 pandemic, include essential services for violence against women.  Allocate adequate resources for services for survivors and identify ways to make them accessible – particularly in the context of measures to restrict people’s movement.  Explore the use of telemedicine, digital health, or mhealth to enhance access to support and services for survivors, while ensuring this is safe for them.   Explore alternative shelters for women who may require this.  Ensure that lockdown measures do not penalize women for seeking support when experiencing violence, such as by going to the police or hospital to report violence. "
Has violence against women increased since the beginning of the COVID-19 pandemic?,"Violence against women is highly prevalent, and intimate partner violence is the most common form of violence. During health emergencies, such as the COVID-19 pandemic, violence against women tends to increase.   Whilst data are scarce, reports from across the world, including China, the United Kingdom, the United States of America, and other countries suggest a significant increase in domestic violence cases related to the COVID-19 pandemic. Reports from other countries suggest a reduction in survivors seeking services due to a combination of lockdown measures and not wanting to attend health services for fear of infection.  "
How does COVID-19 increase risks of violence for women?,"Stress, the disruption of social and protective networks, loss of income and decreased access to services all can exacerbate the risk of violence for women.  In many countries, where people are encouraged or required to stay at home, the risk of intimate partner violence is likely to increase. Please see the following resource for more detail:  https://www.who.int/reproductivehealth/publications/emergencies/COVID-19-VAW-full-text.pdf  In addition, access to sexual and reproductive health services will likely become more limited. Other services, such as hotlines, crisis centers, shelters, legal aid, and protection services, may also be reduced, making it difficult for women to access the few sources of help that would usually be available. "
Who is most vulnerable?," Women who are displaced, who are migrants or refugees, and those living in conflict-affected areas, older women and women with disabilities are particularly at risk of violence and are likely to be disproportionately affected by violence during COVID-19. "
Why should I care about violence against women during COVID-19?,"Violence against women is a grave violation of women’s human rights, no matter when, where, or how it takes place. There are many forms of violence against women, which have many potential negative health consequences for women and their children.   Violence against women can result in injuries and serious physical, mental, sexual and reproductive health problems, including sexually transmitted infections, HIV, and unplanned pregnancies. In extreme cases, violence against women can result in death.  The effects of violence are very often long-lived. Violence – in all its forms – can have an impact on a woman’s well-being throughout the rest of her life. This is unacceptable, and the risks of violence that women and their children face during the current COVID-19 crisis cannot be ignored.  When we are able to prevent violence, or to support women survivors of violence, we help to safeguard women’s human rights, and promote physical and mental health and well-being for women throughout their lives. This also helps to alleviate pressure on already stretched essential public services, including the health system. "
What does it mean to say a virus mutates or changes?,"When a virus replicates or makes copies of itself, it sometimes changes a little bit. These changes are called “mutations.” A virus with one or several new mutations is  referred to as a “variant” of the original virus.  The more viruses circulate, the more they may change. These changes can occasionally result in a virus variant that is better adapted to its environment compared to the original virus. This process of changing and selection of successful variants is called “virus evolution.” Some mutations can lead to changes in a virus’s characteristics, such as altered transmission (for example, it may spread more easily) or severity (for example, it may cause more severe disease). Some viruses change quickly and others more slowly. SARS-CoV-2, the virus which causes COVID-19, tends to change more slowly than others such as HIV or influenza viruses. This could in part be explained by the virus’s internal “proofreading mechanism” which can correct “mistakes” when it makes copies of itself. Scientists continue to study this mechanism to better understand how it works."
Should I be concerned about SARS-CoV-2 changing?,"It is normal for viruses to change, but it is still something scientists follow closely because there can be important implications. All viruses, including SARS-CoV-2, the virus that causes COVID-19, change over time. So far hundreds of variations of this virus have been identified worldwide. WHO and partners have been following them closely since January 2020.  Most changes have little to no impact on the virus’ properties. However, depending on where the changes are located in the virus’s genetic material, they may affect the virus’s properties, such as transmission (for example, it may spread more easily) or severity (for example, it may cause more severe disease).  WHO and its international network of experts, are monitoring changes to the virus so that if significant  mutations are identified, WHO can report any modifications to interventions needed by countries and individuals to prevent the spread of that variant.  The current strategies and measures recommended by WHO continue to work against virus variants identified since the start of the pandemic.  See WHO’s Disease Outbreak News for reports on variants.   The best way to limit and suppress the transmission of COVID-19 is for people to continue taking the necessary precautions to keep themselves and others safe."
What is WHO doing to monitor and understand the changes in SARS-CoV-2?,"Since the start of the outbreak, WHO has been working with a global network of expert laboratories around the world to support testing and better understanding of SARS-CoV-2, the virus that causes COVID-19. Research groups have sequenced SARS-CoV-2 and shared these on public databases, including  GISAID . This global collaboration allows scientists to better track the virus and how it is changing. WHO’s global SARS-CoV-2 laboratory network includes a dedicated SARS-CoV-2 Virus Evolution Working Group, which aims to detect new mutations quickly and assess their possible impact. WHO recommends that all countries increase the sequencing of SARS-CoV-2 viruses where possible and share sequence data internationally to help one another monitor and respond to the evolving pandemic. "
"How does SARS-CoV-2 change when it infects animals, and what are the implications?","SARS-CoV-2 spreads primarily through human-to-human transmission, but there is evidence of transmission between humans and animals. Several animals like mink, dogs, domestic cats, lions, tigers and raccoon dogs have tested positive for SARS-CoV-2 after contact with infected humans. There have been reports of large animal outbreaks in mink farms in several countries. SARS-CoV-2 can change while infecting minks. It has been observed that these mink variants are able to transmit back into humans through close contact with the mink. Preliminary results suggest that the mink variants infecting humans appear to have the same properties as other variants of the SARS-CoV-2 virus. Further research is needed to better understand whether these mink variants will cause sustained transmission among humans and could have a negative impact on countermeasures, such as vaccines.   See WHO’s Disease Outbreak News on Denmark ( 3 December 2020) WHO works closely with other organizations, such as the Food and Agriculture Organization of the United Nations, and the World Organisation for Animal Health, to evaluate situations of SARS-CoV-2 in animals and transmission occurring between animals and humans."
What can staff do to stay safe while working at a hotel or other accommodation establishment?,"Everyone should follow basic precautions:  Wash all parts of your hands frequently (at least 20 seconds if using an alcohol-based hand rub, and at least 40 seconds with soap and water), including after exchanging objects such as money or credit cards with guests. Cover a cough or sneeze with a bent elbow or tissue and throw away the tissue in a closed bin. Maintain at least a 1 metre distance from other staff and guests. This includes avoid hugging, kissing, or shaking hands. If you can’t guarantee the distance, wear a fabric mask. Be sure to check local and national guidelines on the use of masks.  Staying behind plexiglass boards at reception and concierge desks can prevent droplet transmission.  Teleworking may be a possibility for some jobs, which can help reduce physical contact with others. "
Should staff wear a mask while working?,"In areas where the virus that causes COVID-19 is circulating, staff aged 60 or over, or who have any underlying health conditions such as heart disease, diabetes or lung cancer, should wear a medical mask because of their higher risk of getting seriously ill from COVID-19.  Staff under the age of 60 and who are in general good health can wear fabric masks when they cannot guarantee at least a 1 metre distance from others. This is particularly important for staff who are in close contact or potential close contact with others. Everyone should follow local policies and regulations."
What should staff do if a guest becomes sick at an accommodation establishment?,"If a guest at the accommodation develops symptoms of COVID-19, such as fever, dry cough or tiredness, staff at the accommodation establishment should contact the local health authority and follow their instructions. The sick person should be isolated in a room, alone, or at least 1 metre away from others, according to local health authorities’ instructions. No visitors should be permitted to enter the room occupied by the affected guest. Staff should also move people traveling with the sick person to a different room, if possible.  It is usually the relevant public health authority, not the management of the hotel and accommodation establishment, which has the authority to demand sick guests to temporarily remain in their room or to prevent them from receiving visits from other guests. National law will guide the rights of the guests to refuse or not the recommended measures. Staff entering the room of an ill person should maintain at least a 1 metre distance from the ill person, and request that the ill person put on a medical mask.   If staff need to assist an ill guest within a 1 metre distance, they should clean their hands before putting on appropriate personal protective equipment (medical mask and eye protection, gloves and isolation gown), and clean their hands after providing assistance. Training should be provided on how to avoid contaminating themselves."
What should staff do if they have symptoms?,"If staff develop COVID-19 symptoms while at work, such as fever, dry cough or tiredness, they should immediately stop working, put on a medical mask and isolate in a suitable room while medical services are notified. Disposable tissues and an appropriate waste bin with a lid should be available in the designated isolation area while waiting for medical assessment or transfer to an assessment facility. If staff develop symptoms while at home, they should stay at home and seek medical attention, following instructions from a health worker that will include a period of time for self-isolation away from others, including family members, according to local guidance.  The staff member should inform the management accordingly."
What is excess mortality?,"Excess mortality associated with the COVID-19 pandemic is used to quantify the direct and indirect impacts of the pandemic. Excess mortality is defined as the difference between the total number of deaths estimated for a specific place and given time period and the number that would have been expected in the absence of the pandemic (no-COVID-19 scenario). This difference is assumed to include deaths attributable directly to COVID-19 as well as deaths indirectly associated with COVID-19 through impacts on health systems and society, minus any deaths that would have occurred under normal circumstances but were averted due to pandemic-related changes in social conditions and personal behaviours."
Why is excess mortality the preferred measure?,"While aggregate COVID-19 case and death numbers are being reported to WHO, they do not always provide a complete picture of the health burden attributable to COVID-19. In general, reported death numbers under-estimate the number of lives lost due to the pandemic, there are several reasons for this. They miss those who died without testing, they are contingent on the country correctly defining COVID as the cause-of-death and they miss the increases in other deaths that are related to the pandemic leading to overwhelmed health systems or patients avoiding care. A few countries have experienced lower than expected total deaths during the pandemic due to reduced contact and reduced mobility, which have led to reduced infectious disease related mortality as well as reduced transport and injury related fatalities. Reported COVID-19 death numbers do not account for this. In light of the challenges posed by using reported data on COVID-19 cases and deaths, excess mortality is considered a more objective and comparable measure that accounts for both the direct and indirect impacts of the pandemic."
Why do the estimates show negative excess deaths for some countries?,"Negative excess deaths could be observed if deaths that would have happened in the absence of the pandemic were averted due to measures taken to deal with the pandemic. Some public health measures (e.g., lockdown, social distancing, mask wearing, working from home) have led to decrease in the number of deaths from causes other than COVID-19. For instance, a decreased number of deaths due to road traffic injuries and seasonal flu has been observed due to restricted movement of people. "
Why are the WHO estimates different from estimates produced by others?,"It is important to note that other groups and countries have produced excess death estimates. The difference in the estimates produced by WHO and those produced by other groups are due to key differences in the input data used and assumptions made including how the expected deaths are calculated, the statistical model used, and the variables used to predict deaths in locations where limited or no data is available. There might also be variations of the period/month/week assessed. To minimize these differences, uncertainty intervals are provided."
What are the challenges in calculating excess mortality including COVID-19?,"Mortality data to calculate actual deaths in real-time are available in only a subset of countries where reporting systems are functioning effectively, and historical datasets to calculate expected deaths are also often incomplete. Many countries do not have the mortality surveillance capacity to generate and collect data in a timely manner and these data gaps mean that excess mortality cannot be derived for all countries using standard methods. The work of the TAG has been essential to establishing the methodology to model excess deaths where data has been unavailable and/or incomplete. This methodology is still under development and will likely be revised based on Member State feedback during the country consultation process."
Where can I review the methodology used to calculate the estimates for each country?,"The methodology paper can be found  here . In light of the evolving situation surrounding the COVID-19 pandemic, the estimates will be updated periodically as more data becomes available."
Who are the members of the Technical Advisory Group (TAG) on COVID-19 Mortality Assessment?,"The TAG is co-chaired by Professor Debbie Bradshaw (Chief Specialist Scientist, South African Medical Research Council), Dr Kevin McCormack (Head of Division for Sustainable Development Goals Indicators & Reports and Geographies, Irish Central Statistics Office) and Dr Oleg Chestnov (Fellow, Federal Research Institute for Health Organization and Informatics of the Ministry of Health of the Russian Federation). Member profiles and a list of observers can be found  here ."
Is a ‘one size fits all’ model used to produce excess mortality estimates?,"WHO produces estimates using statistical modelling for all global health estimates, often with the advice of technical experts, to ensure robust statistical standards are followed and facilitate global comparability. This is the standard approach followed also by other UN agencies for global estimates. The model adopted for estimating excess deaths is  not  a ‘one-size-fits-all’ approach. WHO in collaboration with the TAG scrutinizes the relationships between excess mortality and certain contextually relevant variables in locations with good quality data to estimate excess mortality in countries with limited data. This approach takes the specificity of countries (e.g., income level, reported COVID-19 deaths rate, test positivity rate, containment index) into consideration while ensuring global comparability. Countries may have their own approach to estimating excess deaths that may produce results that are different from those produced by WHO."
How are countries grouped in Tier 1 or 2 for the estimation approach?,"Tier classification is a simple grouping of countries based on mortality data availability. Countries are classified as Tier 1 countries if complete and nationally representative monthly all-cause mortality data for the specified period have been made available to WHO. Countries categorized as Tier 2 include countries for which WHO does not have access to the complete data and thus requires the use of alternative data sources or the application of scaling factors to generate the national aggregate. For these countries, WHO also utilizes subnational data where available.  Tier classification is not a classification of health systems but one specific for and only applied to this current exercise. It is not a reflection of the public health advancement of a country nor of the legislation in place for mortality surveillance. It concretely takes into consideration clear inclusion and exclusion criteria based on data that have been made available to WHO."
How are countries grouped to determine the age-sex pattern of excess deaths?,"In order to determine age-sex patterns of excess deaths, countries are categorized into eight groups using a  K -means clustering approach. While a natural grouping would be geographically representative, using some regional identification (e.g., WHO regions), from a practical perspective it is not always possible owing to insufficient availability of empirical data in some countries or regions. Even within close geographic proximity, the impact of the pandemic, and its magnitude by sex and age can vary significantly.  K -means is a method commonly used to characterize data and partition a data set into groups. Countries are grouped into clusters based on mean ages at death and of population, as well as the overall excess mortality rates and porportion of total deaths. The number of clusters is chosen to maximise the variation between clusters and to minimise the variation within clusters by age and sex. More details on the  K -means clustering are provided in the  methodology ."
What are the limitations of these estimates and methods?,"Every model is an approximation of reality. Models are subject to trade-offs, not least, the balance between comprehensiveness and comprehensibility. WHO’s estimates of the excess mortality associated with the COVID-19 pandemic are also approximations in a rapidly evolving pandemic with regard to transmissibility and severity. It is worth noting that WHO relies on models to compile a wide range of global health statistics. This is necessary as not all countries have high quality information systems, or those that do cannot always share their data in a timely manner. Therefore, WHO works with countries to strengthen their data and health information systems, while at the same time makes the best use of the data currently available to generate high quality evidence. Specifically with regard to the excess mortality estimates, the model uses relationships that have been quantified using data from the countries with high quality systems for data reporting. We extrapolate these relationships to settings that are in many ways systematically different across multiple dimensions such as health systems capacity, underlying disease burden and age-structure. Countries have differed on when they experienced waves and how they responded, and quantifying this temporal relationships between COVID-19 surges or the effects of the emergence of variants is not trivial. In some settings the country responses were reactive but in many others they were proactive. As such, despite the effort to calibrate the model such that it is accurate in different settings, one of the more important limitations to note is that the input data have limited representation and this model generalizes the covariate relationships quantified to settings that may be systematically different from those observed. The final model is intentionally parsimonious. This reduction in complexity means it is not possible for such a reduced set of variables to explain all of the variation that is observed across countries. While the variables chosen are contextually relevant and are found to explain a significant component of the variation in excess, the underlying population characteristics that drove these differences are too complex to fully capture perfectly in a single global model and, hence, the trade-offs referred to above have had to be made. The estimates, therefore, are the best possible at this point in time for the first 24 months of the pandemic and have some degree of uncertainty around them."
What process did the WHO follow to calculate the estimates?,"In February 2021, in collaboration with the United Nations Department of Economic and Social Affairs (UN DESA), WHO convened a Technical Advisory Group (TAG) on COVID-19 Mortality Assessment to advise on the development of analytical methods for estimating excess mortality in all countries. The COVID TAG is comprised of leading demographers, epidemiologists, data and social scientists and statisticians from a range of backgrounds and geographies. Under Working Group I of the TAG (Working Group I: Global excess mortality estimates including COVID-19), members considered several statistical models and after assessing performance, interpretability as well as extensibility, the TAG proposed a Poisson regression model (parameterized to account for over-dispersion) to predict the total number of deaths from all causes for the years 2020 and 2021, conditional on the monthly expected deaths over the period and a predicted relative rate parameter which is modelled using country-specific variables. The model has been used by WHO to generate estimates for countries and regions for which adequate input data were available for reliable inference and to predict estimates for countries with no data available. In addition to determining levels of excess mortality associated with the   COVID-19 pandemic for the years 2020 and 2021, the expertise of the TAG is also being leveraged to develop methods for disaggregating the estimated number of excess deaths by age and sex. WHO’s estimates are produced following the Guidelines for Accurate and Transparent Health Estimates Reporting ( GATHER )."
What is a country consultation process and what are countries be consulted on?,"It is a regular process that WHO consults with its Member States when producing new estimates. In August 2021, a Circular Letter (C.L. 29.2021) was shared through WHO’s official list of addresses with all Member States requesting the designation of a national focal point to interact with the technical team in this process.  Designated focal points for each Member State were requested to review estimates of excess mortality associated with the COVID-19 pandemic, the data sources and methods used and, to share primary data sources that may not have been previously available to WHO. Any additional feedback is also taken into consideration during the country consultation.  In October 2021, the draft estimates of excess mortality associated with the COVID-19 pandemic prepared for each country and the methodology applied to produce these estimates, were made available for download and accessible through WHO’s Country Portal.  The WHO estimates of excess mortality associated with the COVID-19 pandemic provide a comprehensive and comparable set of country estimates disaggregated by sex and age from January 2020 to December 2021.  Designated national focal points reviewed and uploaded supporting data and provided feedback on estimates via the WHO Country Portal. National focal points interacted with the WHO Global Health Estimates team. Regional webinars and a Mission Briefing (for Permanent Missions in Geneva) were organized to present the estimates and methodology and provided opportunity to respond to any questions.  "
Where can I find the estimates for my country / when will these estimates be available?,Initial estimates up until 31 December 2021 are scheduled for release in early 2022.  Methods and estimates will be available at ( www.who.int/data ).
What are the next steps?,The country consultation closed in November 2021. The estimates are being finalized and will be made public early 2022. Further country consultation processes is scheduled in late 2022.
What is WHO's guidance on certifying COVID-19 deaths?,"A death due to COVID-19 is  defined  for surveillance purposes as a death resulting from a clinically compatible illness, in a probable or confirmed COVID-19 case, unless there is a clear alternative cause of death that cannot be related to COVID disease (e.g. trauma). There should be no period of complete recovery from COVID-19 between illness and death. A death due to COVID-19 may not be attributed to another disease (e.g. cancer) and should be counted independently of preexisting conditions that are suspected of triggering a severe course of COVID-19. "
How is WHO supporting countries to strengthen national health information systems?,"At the heart of WHO’s Transformation Agenda is a commitment to support countries to strengthen their data and health information systems and make progress towards achieving the Triple Billion targets and health-related SDGs.  The SCORE for Health Data Technical Package (Survey, Count, Optimize, Review, Enable) identifies data gaps and provides countries with tools to close them. Based on findings from the first assessment of country health data and information systems, WHO is using an integrated approach to improve public health and disease surveillance, track Civil Registration and Vital Statistics (CRVS) data, and optimize routine health information systems, including regular and reliable data from health facilities.  The following tools are available to countries:  The World Health Survey Plus (WHS+) is a multi-topic, multi-mode, multi-platform survey tool to gather health data quickly in standardized and cost effective ways to assess and improve health.  The CRVS strategic implementation plan is focused on supporting countries so that over the next five years there will be substantial progress with accurate and timely tracking of births, deaths, and causes of death.  WHO’s Routine Health Information Systems (RHIS) strategy aims to strengthen RHIS in countries through strengthened partnerships, improved data collection, and improved integration and interoperability of RHIS, along with building capacity and ensuring sustainability.  The WHO Toolkit for Routine Health Information Systems Data strengthens facility data analysis through standardized indicators, visualizations, and guidance, while promoting integrated routing data platforms.  The WHO Harmonized Health Facility Assessment (HHFA) is a comprehensive facility survey providing data on the availability of health services and the resources and systems needed to improve quality.  These data solutions enable public health decision makers to improve essential health services and better respond to emergencies.  For any questions, please contact:  [email protected]"
"Why is WHO producing these estimates now, in the midst of the pandemic, and what is its utility?","WHO’s core normative function is to compile and disseminate statistics on mortality – numbers and causes. The world expects WHO to provide objective evidence on the impact of COVID-19.  Estimating excess mortality associated with the COVID-19 pandemic supplements the traditional direct measure ‘mortality directly attributable to COVID-19’ with a broader measure showing the direct plus the indirect effects of the pandemic.   It is important to do this now, rather than wait, in order to underpin the need for an equitable response during the pandemic by showing the real underlying impact of COVID-19 in different countries – especially lower and middle income countries that may not have developed health information systems to guide a targeted response.  Deaths directly attributable to COVID-19 provide only a narrow perspective of the wide ranging harms being caused by the pandemic. The collateral damage from COVID-19 is much wider. It is important to quantify this now as it can inform choices that governments must make regarding prioritization between routine and emergency health systems. The utility of the excess mortality estimates goes beyond estimation of the impact of the COVID-19 pandemic. It underlines the significance of investing in health and better targeting of interventions and resources to those most in need to prevent future deaths. These estimates will serve to underscore to governments around the world the need to sharpen their data tools and specifically improve Civil Registration and Vital Statistics (CRVS), mortality surveillance, and data and health information systems. Estimates of excess mortality associated with the COVID-19 pandemic are also critical inputs for other important work currently underway. For example, pandemic preparedness and estimating the global population. The UN is mandated to estimate the global population and prepare population projections. COVID-19 is a significant disruption to normal population growth trends and must be factored into any future estimates. Global excess mortality associated with the COVID-19 pandemic provides a key input to this work, showing the effects of the pandemic on the global population now, but also the longer tail effects on future population projections. The importance of this should not be underestimated as population is one of the most important denominators for economic and social statistics. "
How is this work related to other global health and population estimates?,"The COVID-19 pandemic will have long lasting impacts on the structure of populations brought by changes in deaths and births. Substantial increases in mortality in many countries have affected premature mortality and life expectancy. WHO’s excess mortality estimates are critical inputs to WHO global health estimates and other UN partners’ work, including UN World Population Prospects. The excess mortality estimates associated with the COVID-19 pandemic provide a valuable set of comparable country estimates to better understand the impact of the pandemic. It is thus of vital importance that these estimates are made available in a timely manner and updated periodically in order to identify inequalities and gaps in health information systems and civil registration and vital statistics (CRVS), which in turn will help in determining likely future vulnerabilities and target interventions. For any questions, please contact:  [email protected]"
How can I submit for EUL assessment?,"The manufacturer should first contact  [email protected] .The Prequalification (PQ)-IVD team organizes a teleconference as the first step of the EUL process. Thereafter, we invite manufacturers to submit an application letter if the manufacturer has conducted all the required minimum studies in our instructions document. We prefer if manufacturers submit all information at one time rather than partial data at multiple timepoints as it assists us to undertake a more efficient data review. However, when this is not possible, manufacturers are encouraged to contact our Team to seek guidance. Once we receive the application letter, we will prepare a letter of agreement, and ask the manufacturer to submit their product dossier. The QMS documentation and product performance data are reviewed in parallel. Firstly, the provided information is screened for completeness and (if complete) then undergoes a technical assessment. We inform the manufacturer of the outcome of each step and ask for more information where required. "
What are the EUL timelines?,"The time to accepting the application letter is less than one week. Responses to screening and dossier review takes six to eight weeks depending on the completeness of the information submitted. If you have a question regarding your application that is currently under review, email  [email protected]  and we will give an update as soon as we can. For queries about active applications and products published on our website as emergency use listed, refer to the status updates and public reports on our website or email  [email protected] .int and we will try to give you as much information we can, understanding that we cannot share confidential information."
What IVD products are eligible for the abridged assessment pathway?,"IVDs to detect SARS-CoV-2 nucleic acid that have US FDA Emergency Use Authorization are eligible for an abridged assessment pathway. For these applications, we accept the submission prepared for the FDA. Note however that any additional requirements outlined in the WHO instructions document must supplement the submission and the entire dossier will be assessed. We do not abridge any other national regulatory authority approvals for NAT assays (such as CE-marking, Chinese NMPA, ANVISA, Korea MFDS), nor any other types of IVDs."
We have conducted performance studies for our kit as per national regulatory authority requirements. Do we have to repeat these studies for the EUL if they do not completely align with WHO EUL instructions?,"We understand that time and specimens are critical. We will work with the data that you have available at the time of submission and discuss your application in detail during the presubmission call. Submit any data that has been generated that can help us evaluate your assay more comprehensively. We publish minimum requirements in our instructions document that we require all manufacturers to meet. As the pandemic evolves and more evidence becomes, we are updating our minimum requirements. The most recent version is posted on our website."
What is the relationship between the performance studies such as the study organized by FIND and the EUL?,"Currently, several performance evaluations of SARS-CoV-2 IVDs are being implemented by regulatory authorities, reference laboratories and other stakeholders in various regions. Manufacturer are strongly encouraged to participate in initiatives which generate evidence that can be used to support the EUL submission, However, participation in external evaluations does not replace the EUL submission nor is participation in such studies mandatory for submission to the WHO EUL."
Does the EUL expression of interest include multiplex NAT assays which detect other respiratory pathogens in addition to SARS-CoV-2?,PQT-IVD are not accepting applications for multiplex NAT assays that detect other respiratory pathogens in addition to SARS-CoV-2 to the EUL assessment procedure.
I am developing a SARS-CoV-2 assay and preparing to submit to the EUL. What instructions should I follow?,"We have published different instructions depending on the assay type on our website to assist in the preparation of the EUL submission. As the pandemic evolves and more scientific evidence becomes PQT_IVD_Q&A_200806version1 Page 3 of 3 available, these instructions may change. It is recommended to verify that you are using the most recent version of instructions which are posted on our  website ."
"I am submitting a RT-PCR kit to detect SARS-CoV-2 nucleic acid, do I have to include the extraction step in my validation studies?","Yes, the extraction step must be considered for all analytical and clinical performance studies. It is essential that the limit of detection is determined in each specimen type claimed using all extraction kits recommended in the instructions for use."
Do I need to provide detailed information regarding specimen collection and storage?,"More and more evidence is emerging as to how critical appropriate specimen collection and storage is in the testing process, and the potential impacts it can have on the IVD kit sensitivity. PQT-IVD consider it essential that the manufacturer fully understands the impact of the viral transport media (VTM) or other means recommended in the instructions for use as users will follow this information. If commercial VTM, in-house developed VTM or other storage solutions are recommended, it is essential that the manufacturer has evidence of its performance in the claimed specimen type."
I cannot get access to the full list of organisms that are required for NAT assay cross- reactivity studies. Can WHO source these specimens or conduct testing on our behalf?,"PQT-IVD team are not undertaking any laboratory evaluation on manufacturers behalf. However, we understand that some organisms are proving difficult to source in different jurisdictions. As long as manufacturers can demonstrate that they have made adequate attempts to source these specimens, we can accept the testing to be submitted at an agreed later timepoint when the manufacturer can access these specimens. We will review the overall dataset and accept that there might be some small gaps in the dossier where other sections have been addressed completely."
"In our clinical evidence studies, we have not used a comparator assay that is recommended in your instructions document. Do we have to repeat the clinical studies?","No, we will not necessarily request you to repeat your clinical evidence studies without reviewing the data you already have available. Please provide a justification for how you have chosen your comparator assay. We would expect that a minimum, that you have knowledge of the comparator assay primers and probes and that they are not the same sequences as used in your assay. As part of the dossier submission. PQT-IVD will consider this information as part of the total dossier."
